Impact priorities,Strategic Themes,Mode,Focus Area,Modern Industrial Strategy,DfT 
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,Rail,Rail- Transport Hubs & Multimodal Integration,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Hubs and Clusters,Rail,Rail- Transport Hubs & Multimodal Integration,Foundational industries and inputs,Integrated Strategy - Put people's needs at the heart of everything we do
Transport and infrastructure emits greenhouse gas,Decarbonisation,Rail,Rail- Renewable Energy Systems and Alternative Fuels,Clean Energy Industries,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Autonomy,Rail,Rail- Rail Technology Advancement,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,Rail,Rail- Rail Technology Advancement,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Hubs and Clusters,Rail,Rail- Rail Technology Advancement,Foundational industries and inputs,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,Rail,Rail- Rail Technology Advancement,Clean Energy Industries,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,Rail,Rail- Rail Technology Advancement,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
Both,Autonomy,Rail,Rail- Establishing and Growing Rail Innovation Zones,Professional and Business Service,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,Rail,Rail- Establishing and Growing Rail Innovation Zones,Professional and Business Service,Integrated Strategy - Put people's needs at the heart of everything we do
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Hubs and Clusters,Rail,Rail- Establishing and Growing Rail Innovation Zones,Professional and Business Service,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,Rail,Rail- Establishing and Growing Rail Innovation Zones,Professional and Business Service,Integrated Strategy - Use transport to create better connected places across the country
Both,Planning and Operation,Rail,Rail- Establishing and Growing Rail Innovation Zones,Professional and Business Service,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
Both,Industry,Rail,Rail- Convening Rail Innovation,Professional and Business Service,Integrated Strategy - Use transport to create better connected places across the country
Both,Autonomy,Aviation,Aviation - Advanced Air Mobility,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,Aviation,Aviation - Passenger experience,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
Transport and infrastructure emits greenhouse gas,People Experience,Aviation,Aviation - Public engagement in Decarb,cross cutting - place based growth,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,Aviation,Aviation - Sustainable Aviation,Clean Energy Industries,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,Aviation,Aviation - Local authority engagement in Decarb,Clean Energy Industries,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,Aviation,Aviation - Air space,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
Both,Planning and Operation,Aviation,Aviation - Airport Operations,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
Both,Industry,Aviation,Aviation - Future of flight,Professional and Business Service,Integrated Strategy - Use transport to create better connected places across the country
Data and digital drives integration and enhanced decision making in connected places,Autonomy,Maritime,Maritime - MASS Survey inspection,Defence,N/A
Transport and infrastructure emits greenhouse gas,Hubs and Clusters,Maritime,Maritime - Coastal Shipping – Modal shift,Foundational industries and inputs,N/A
Transport and infrastructure emits greenhouse gas,Decarbonisation,Maritime,Maritime - Future Fuels – Green Short Sea Shipping,Clean Energy Industries,Maritime Decarbonisation Strategy - Green corridors
Transport and infrastructure emits greenhouse gas,Hubs and Clusters,Maritime,Maritime - Multi-fuel hub / 1st offload,Foundational industries and inputs,N/A
Transport and infrastructure emits greenhouse gas,Decarbonisation,Maritime,Maritime - Multi-fuel hub / 1st offload,Clean Energy Industries,N/A
Transport and infrastructure emits greenhouse gas,Planning and Operation,Maritime,"Maritime - Autonomy of Ports, Ships and building",Clean Energy Industries,Maritime Decarbonisation Strategy - Increasing the efficiency of maritime operations
Transport and infrastructure emits greenhouse gas,Planning and Operation,Maritime,Maritime - PNT (Precision navigation and timing),Digital and Technologies,N/A
Transport and infrastructure emits greenhouse gas,Decarbonisation,Maritime,Maritime - Alternate Propulsion Systems for Vessels – Wind / Nulclear,Clean Energy Industries,Maritime Decarbonisation Strategy - Continuing R&D support through UK SHORE
Transport and infrastructure emits greenhouse gas,Planning and Operation,Maritime,Maritime - Alternate Propulsion Systems for Vessels – Wind / Nulclear,Clean Energy Industries,Maritime Decarbonisation Strategy - Increasing the efficiency of maritime operations
Transport and infrastructure emits greenhouse gas,Decarbonisation,Maritime,Maritime - Electrification of Maritime,Clean Energy Industries,Maritime Decarbonisation Strategy - Measures for small vessels and accelerating uptake in targeted subsectors
Transport and infrastructure emits greenhouse gas,Planning and Operation,Maritime,Maritime - Electrification of Maritime,Clean Energy Industries,Maritime Decarbonisation Strategy - Measures for small vessels and accelerating uptake in targeted subsectors
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,HIT,HIT - Integrated Active- and Micro- mobility,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
Both,Hubs and Clusters,HIT,HIT - Integrated Active- and Micro- mobility,Foundational industries and inputs,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,HIT,HIT - Integrated Active- and Micro- mobility,Clean Energy Industries,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,HIT,HIT - Integrated Active- and Micro- mobility,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,HIT,HIT - Connecting Highways,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
Both,Hubs and Clusters,HIT,HIT - Connecting Highways,Foundational industries and inputs,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,HIT,HIT - Connecting Highways,Clean Energy Industries,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,HIT,HIT - Connecting Highways,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,HIT,HIT - Integrated Freight,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
Both,Hubs and Clusters,HIT,HIT - Integrated Freight,Foundational industries and inputs,Integrated Strategy - Use transport to create better connected places across the country
Transport and infrastructure emits greenhouse gas,Decarbonisation,HIT,HIT - Integrated Freight,Clean Energy Industries,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,HIT,HIT - Integrated Freight,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
